"filename", "language", "C++", "C", "Properties", "Makefile", "comment", "blank", "total"
"c:\Users\isaif\Desktop\Summer Proj\src\Makefile", "Makefile", 0, 0, 0, 45, 3, 18, 66
"c:\Users\isaif\Desktop\Summer Proj\src\gdt.c", "C", 0, 32, 0, 0, 1, 8, 41
"c:\Users\isaif\Desktop\Summer Proj\src\gdt.h", "C", 0, 54, 0, 0, 4, 8, 66
"c:\Users\isaif\Desktop\Summer Proj\src\grub.cfg", "Properties", 0, 0, 3, 0, 0, 2, 5
"c:\Users\isaif\Desktop\Summer Proj\src\idt.c", "C", 0, 37, 0, 0, 5, 11, 53
"c:\Users\isaif\Desktop\Summer Proj\src\idt.h", "C", 0, 13, 0, 0, 0, 3, 16
"c:\Users\isaif\Desktop\Summer Proj\src\isodir\boot\grub\grub.cfg", "Properties", 0, 0, 3, 0, 0, 2, 5
"c:\Users\isaif\Desktop\Summer Proj\src\isr.c", "C", 0, 17, 0, 0, 0, 6, 23
"c:\Users\isaif\Desktop\Summer Proj\src\kernel.c", "C", 0, 15, 0, 0, 0, 1, 16
"c:\Users\isaif\Desktop\Summer Proj\src\key_mappings.h", "C++", 11, 0, 0, 0, 2, 0, 13
"c:\Users\isaif\Desktop\Summer Proj\src\lib.c", "C", 0, 20, 0, 0, 6, 4, 30
"c:\Users\isaif\Desktop\Summer Proj\src\lib.h", "C++", 1, 0, 0, 0, 0, 0, 1
"c:\Users\isaif\Desktop\Summer Proj\src\malloc.c", "C", 0, 23, 0, 0, 1, 3, 27
"c:\Users\isaif\Desktop\Summer Proj\src\malloc.h", "C", 0, 10, 0, 0, 1, 4, 15
"c:\Users\isaif\Desktop\Summer Proj\src\switch.c", "C", 0, 29, 0, 0, 0, 3, 32
"c:\Users\isaif\Desktop\Summer Proj\src\switch.h", "C++", 3, 0, 0, 0, 6, 1, 10
"c:\Users\isaif\Desktop\Summer Proj\src\syscall.c", "C", 0, 21, 0, 0, 0, 4, 25
"c:\Users\isaif\Desktop\Summer Proj\src\syscall.h", "C++", 4, 0, 0, 0, 0, 0, 4
"c:\Users\isaif\Desktop\Summer Proj\src\user.c", "C", 0, 18, 0, 0, 0, 0, 18
"c:\Users\isaif\Desktop\Summer Proj\src\vmem.c", "C", 0, 58, 0, 0, 10, 9, 77
"c:\Users\isaif\Desktop\Summer Proj\src\vmem.h", "C", 0, 27, 0, 0, 0, 5, 32
"Total", "-", 19, 374, 6, 45, 39, 92, 575